"Week","Age_Group","Cases","Percent_Difference"
"2020-03-01","0-4 Years","0","0"
"2020-03-08","0-4 Years","0","0"
"2020-03-15","0-4 Years","0","0"
"2020-03-22","0-4 Years","61","100"
"2020-03-29","0-4 Years","123","50"
"2020-04-05","0-4 Years","102","-20"
"2020-04-12","0-4 Years","123","16.7"
"2020-04-19","0-4 Years","102","-20"
"2020-04-26","0-4 Years","123","16.7"
"2020-05-03","0-4 Years","102","-20"
"2020-05-10","0-4 Years","143","28.6"
"2020-05-17","0-4 Years","184","22.2"
"2020-05-24","0-4 Years","143","-28.6"
"2020-05-31","0-4 Years","164","12.5"
"2020-06-07","0-4 Years","143","-14.3"
"2020-06-14","0-4 Years","164","12.5"
"2020-06-21","0-4 Years","143","-14.3"
"2020-06-28","0-4 Years","102","-40"
"2020-07-05","0-4 Years","225","54.5"
"2020-07-12","0-4 Years","164","-37.5"
"2020-07-19","0-4 Years","245","33.3"
"2020-07-26","0-4 Years","164","-50"
"2020-08-02","0-4 Years","143","-14.3"
"2020-08-09","0-4 Years","123","-16.7"
"2020-08-16","0-4 Years","123","0"
"2020-08-23","0-4 Years","123","0"
"2020-08-30","0-4 Years","204","40"
"2020-09-06","0-4 Years","82","-150"
"2020-09-13","0-4 Years","102","20"
"2020-09-20","0-4 Years","164","37.5"
"2020-09-27","0-4 Years","102","-60"
"2020-10-04","0-4 Years","102","0"
"2020-10-11","0-4 Years","143","28.6"
"2020-10-18","0-4 Years","102","-40"
"2020-10-25","0-4 Years","143","28.6"
"2020-11-01","0-4 Years","266","46.2"
"2020-11-08","0-4 Years","245","-8.3"
"2020-11-15","0-4 Years","307","20"
"2020-11-22","0-4 Years","286","-7.1"
"2020-11-29","0-4 Years","450","36.4"
"2020-12-06","0-4 Years","470","4.3"
"2020-12-13","0-4 Years","347","-35.3"
"2020-12-20","0-4 Years","388","10.5"
"2020-12-27","0-4 Years","307","-26.7"
"2021-01-03","0-4 Years","412","25.6"
"2021-01-10","0-4 Years","391","-5.3"
"2021-01-17","0-4 Years","309","-26.7"
"2021-01-24","0-4 Years","268","-15.4"
"2021-01-31","0-4 Years","247","-8.3"
"2021-02-07","0-4 Years","227","-9.1"
"2021-02-14","0-4 Years","206","-10"
"2021-02-21","0-4 Years","124","-66.7"
"2021-02-28","0-4 Years","144","14.3"
"2021-03-07","0-4 Years","247","41.7"
"2021-03-14","0-4 Years","247","0"
"2021-03-21","0-4 Years","227","-9.1"
"2021-03-28","0-4 Years","288","21.4"
"2021-04-04","0-4 Years","309","6.7"
"2021-04-11","0-4 Years","144","-114.3"
"2021-04-18","0-4 Years","330","56.3"
"2021-04-25","0-4 Years","227","-45.5"
"2021-05-02","0-4 Years","144","-57.1"
"2021-05-09","0-4 Years","309","53.3"
"2021-05-16","0-4 Years","227","-36.4"
"2021-05-23","0-4 Years","165","-37.5"
"2021-05-30","0-4 Years","144","-14.3"
"2021-06-06","0-4 Years","124","-16.7"
"2021-06-13","0-4 Years","62","-100"
"2021-06-20","0-4 Years","41","-50"
"2021-06-27","0-4 Years","82","50"
"2021-07-04","0-4 Years","144","42.9"
"2021-07-11","0-4 Years","103","-40"
"2021-07-18","0-4 Years","247","58.3"
"2021-07-25","0-4 Years","185","-33.3"
"2021-08-01","0-4 Years","330","43.8"
"2021-08-08","0-4 Years","350","5.9"
"2021-08-15","0-4 Years","474","26.1"
"2021-08-22","0-4 Years","494","4.2"
"2021-08-29","0-4 Years","536","7.7"
"2021-09-05","0-4 Years","597","10.3"
"2021-09-12","0-4 Years","494","-20.8"
"2021-09-19","0-4 Years","412","-20"
"2021-09-26","0-4 Years","453","9.1"
"2021-10-03","0-4 Years","536","15.4"
"2021-10-10","0-4 Years","288","-85.7"
"2021-10-17","0-4 Years","288","0"
"2021-10-24","0-4 Years","350","17.6"
"2021-10-31","0-4 Years","309","-13.3"
"2021-11-07","0-4 Years","433","28.6"
"2021-11-14","0-4 Years","288","-50"